# l                Dl               -dDl             +dDl             
  2.00000000e+00   2.96151300e+00   4.03012065e+00   4.03012065e+00
  3.00000000e+00  -2.78657300e+00   3.12827431e+00   3.12827431e+00
  4.00000000e+00   1.99385200e+00   2.51971316e+00   2.51971316e+00
  5.00000000e+00   3.58016100e+00   1.87375647e+00   1.87375647e+00
  6.00000000e+00   4.58014800e-01   1.68408802e+00   1.68408802e+00
  7.00000000e+00   2.49713700e+00   1.34155156e+00   1.34155156e+00
  8.00000000e+00   6.76714600e-01   1.18776452e+00   1.18776452e+00
  9.00000000e+00   2.32467100e+00   1.30735138e+00   1.30735138e+00
  1.00000000e+01  -1.97156000e-02   1.09956197e+00   1.09956197e+00
  1.10000000e+01   1.18494100e+00   1.00900355e+00   1.00900355e+00
  1.20000000e+01   1.47619500e+00   1.07795697e+00   1.07795697e+00
  1.30000000e+01   6.31185400e-01   1.09402007e+00   1.09402007e+00
  1.40000000e+01   5.95275000e-01   1.12092633e+00   1.12092633e+00
  1.50000000e+01   8.78869800e-01   1.10564445e+00   1.10564445e+00
  1.60000000e+01   6.46834200e-01   1.16322924e+00   1.16322924e+00
  1.70000000e+01   2.00132800e+00   1.10966157e+00   1.10966157e+00
  1.80000000e+01  -1.49318400e+00   1.34396484e+00   1.34396484e+00
  1.90000000e+01  -2.13145400e+00   1.21508270e+00   1.21508270e+00
  2.00000000e+01   1.33971100e+00   1.21841691e+00   1.21841691e+00
  2.10000000e+01   1.12718300e+00   1.33669351e+00   1.33669351e+00
  2.20000000e+01   1.88008400e-01   1.32645553e+00   1.32645553e+00
  2.30000000e+01   1.86200000e+00   1.40990823e+00   1.40990823e+00
  2.40000000e+01   4.32252200e-01   1.36955946e+00   1.36955946e+00
  2.50000000e+01   3.44500500e+00   1.44104574e+00   1.44104574e+00
  2.60000000e+01   3.58361800e+00   1.47076673e+00   1.47076673e+00
  2.70000000e+01   1.61726800e+00   1.56103890e+00   1.56103890e+00
  2.80000000e+01   4.16402300e+00   1.59705133e+00   1.59705133e+00
  2.90000000e+01   1.90151100e+00   1.62707550e+00   1.62707550e+00
  3.00000000e+01   1.50225180e+00   3.53684333e+00   3.53684333e+00
  3.10000000e+01   1.61142593e+00   3.51877104e+00   3.51877104e+00
  3.20000000e+01   3.30663716e+00   3.50306880e+00   3.50306880e+00
  3.30000000e+01  -4.27259621e-02   3.49305063e+00   3.49305063e+00
  3.40000000e+01   1.18601835e+00   3.48659521e+00   3.48659521e+00
  3.50000000e+01  -2.04503036e+00   3.48363663e+00   3.48363663e+00
  3.60000000e+01   3.85820152e+00   3.48383842e+00   3.48383842e+00
  3.70000000e+01   6.75743118e+00   3.48736293e+00   3.48736293e+00
  3.80000000e+01   6.72141515e+00   3.49380182e+00   3.49380182e+00
  3.90000000e+01   3.15724533e-01   3.50296097e+00   3.50296097e+00
  4.00000000e+01   4.16582322e+00   3.51465143e+00   3.51465143e+00
  4.10000000e+01   6.57440498e-02   3.52890592e+00   3.52890592e+00
  4.20000000e+01  -6.48906303e-01   3.54533805e+00   3.54533805e+00
  4.30000000e+01   1.89826413e+00   3.56378190e+00   3.56378190e+00
  4.40000000e+01  -8.59736599e-01   3.58431252e+00   3.58431252e+00
  4.50000000e+01  -1.57838748e+00   3.60698676e+00   3.60698676e+00
